email,label
"Win a free iPhone now by clicking this link",spam
"Meeting scheduled tomorrow at 10 AM",ham
"Claim your reward money today",spam
"Please review the attached project file",ham
"Congratulations you won a lottery ticket",spam
"Let's have lunch tomorrow",ham
"Limited time offer buy one get one free",spam
"Can you send the report by evening?",ham
"Earn money fast from home",spam
"Team standup moved to 9 AM",ham
"Free vacation tickets available now",spam
"Your Amazon order has been shipped",ham
"Exclusive deal just for you click now",spam
"Please find invoice attached",ham
"Urgent action required verify your account",spam
"Happy birthday hope you enjoy your day",ham
"Get rich quick with this simple trick",spam
"Reminder dentist appointment on Friday",ham
"You have been selected for a cash prize",spam
"Client meeting notes are shared",ham
"Cheap medicines available online",spam
"Can we reschedule our call?",ham
"Unlock premium membership for free",spam
"Your package will arrive tomorrow",ham
"Act now to receive bonus points",spam
"Project deployment completed successfully",ham
"Lowest insurance rates available today",spam
"Let's discuss the new roadmap",ham
"Final warning update your payment details",spam
"Thanks for your help on the presentation",ham
